data0005: {'is_watertight': False, 'num_open_edges': 'N/A', 'num_bad_faces': 33273, 'num_inverted_faces': 0, 'num_self_intersections': 'N/A', 'num_duplicate_vertices': 0, 'is_winding_consistent': True, 'euler_number': 1, 'non_manifold_edges': 'N/A'}
data0012: {'is_watertight': False, 'num_open_edges': 'N/A', 'num_bad_faces': 27648, 'num_inverted_faces': 2, 'num_self_intersections': 'N/A', 'num_duplicate_vertices': 0, 'is_winding_consistent': True, 'euler_number': 2, 'non_manifold_edges': 'N/A'}
data0025: {'is_watertight': False, 'num_open_edges': 'N/A', 'num_bad_faces': 29427, 'num_inverted_faces': 0, 'num_self_intersections': 'N/A', 'num_duplicate_vertices': 0, 'is_winding_consistent': True, 'euler_number': 1, 'non_manifold_edges': 'N/A'}
data0068: {'is_watertight': False, 'num_open_edges': 'N/A', 'num_bad_faces': 31611, 'num_inverted_faces': 2, 'num_self_intersections': 'N/A', 'num_duplicate_vertices': 0, 'is_winding_consistent': True, 'euler_number': 1, 'non_manifold_edges': 'N/A'}
data0114: {'is_watertight': False, 'num_open_edges': 'N/A', 'num_bad_faces': 19347, 'num_inverted_faces': 2, 'num_self_intersections': 'N/A', 'num_duplicate_vertices': 0, 'is_winding_consistent': True, 'euler_number': 2, 'non_manifold_edges': 'N/A'}
data0190: {'is_watertight': False, 'num_open_edges': 'N/A', 'num_bad_faces': 34125, 'num_inverted_faces': 1, 'num_self_intersections': 'N/A', 'num_duplicate_vertices': 0, 'is_winding_consistent': True, 'euler_number': 2, 'non_manifold_edges': 'N/A'}
data0195: {'is_watertight': False, 'num_open_edges': 'N/A', 'num_bad_faces': 30477, 'num_inverted_faces': 0, 'num_self_intersections': 'N/A', 'num_duplicate_vertices': 0, 'is_winding_consistent': True, 'euler_number': 2, 'non_manifold_edges': 'N/A'}
data0225: {'is_watertight': False, 'num_open_edges': 'N/A', 'num_bad_faces': 35049, 'num_inverted_faces': 0, 'num_self_intersections': 'N/A', 'num_duplicate_vertices': 0, 'is_winding_consistent': True, 'euler_number': 1, 'non_manifold_edges': 'N/A'}
data0270: {'is_watertight': False, 'num_open_edges': 'N/A', 'num_bad_faces': 16314, 'num_inverted_faces': 0, 'num_self_intersections': 'N/A', 'num_duplicate_vertices': 0, 'is_winding_consistent': True, 'euler_number': 2, 'non_manifold_edges': 'N/A'}
data0288: {'is_watertight': False, 'num_open_edges': 'N/A', 'num_bad_faces': 15087, 'num_inverted_faces': 2, 'num_self_intersections': 'N/A', 'num_duplicate_vertices': 0, 'is_winding_consistent': True, 'euler_number': 2, 'non_manifold_edges': 'N/A'}
data0374: {'is_watertight': False, 'num_open_edges': 'N/A', 'num_bad_faces': 14877, 'num_inverted_faces': 0, 'num_self_intersections': 'N/A', 'num_duplicate_vertices': 0, 'is_winding_consistent': True, 'euler_number': 2, 'non_manifold_edges': 'N/A'}
data0405: {'is_watertight': False, 'num_open_edges': 'N/A', 'num_bad_faces': 17184, 'num_inverted_faces': 1, 'num_self_intersections': 'N/A', 'num_duplicate_vertices': 0, 'is_winding_consistent': True, 'euler_number': 2, 'non_manifold_edges': 'N/A'}
data0531: {'is_watertight': False, 'num_open_edges': 'N/A', 'num_bad_faces': 26751, 'num_inverted_faces': 1, 'num_self_intersections': 'N/A', 'num_duplicate_vertices': 0, 'is_winding_consistent': True, 'euler_number': 1, 'non_manifold_edges': 'N/A'}
data0532: {'is_watertight': False, 'num_open_edges': 'N/A', 'num_bad_faces': 32166, 'num_inverted_faces': 2, 'num_self_intersections': 'N/A', 'num_duplicate_vertices': 0, 'is_winding_consistent': True, 'euler_number': 2, 'non_manifold_edges': 'N/A'}
data0567: {'is_watertight': False, 'num_open_edges': 'N/A', 'num_bad_faces': 27138, 'num_inverted_faces': 1, 'num_self_intersections': 'N/A', 'num_duplicate_vertices': 0, 'is_winding_consistent': True, 'euler_number': 2, 'non_manifold_edges': 'N/A'}
