data0001: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0001_watertight.obj
data0002: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0002_watertight.obj
data0003: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0003_watertight.obj
data0004: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0004_watertight.obj
data0005: ok, watertight: False, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0005_watertight.obj
data0006: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0006_watertight.obj
data0007: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0007_watertight.obj
data0008: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0008_watertight.obj
data0009: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0009_watertight.obj
data0010: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0010_watertight.obj
data0011: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0011_watertight.obj
data0012: ok, watertight: False, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0012_watertight.obj
data0013: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0013_watertight.obj
data0014: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0014_watertight.obj
data0015: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0015_watertight.obj
data0016: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0016_watertight.obj
data0017: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0017_watertight.obj
data0018: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0018_watertight.obj
data0019: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0019_watertight.obj
data0020: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0020_watertight.obj
