total: 585
ok_export: 585
watertight_true: 569
failed: 0

data0001_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0001_mask_watertight.obj
data0002_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0002_mask_watertight.obj
data0003_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0003_mask_watertight.obj
data0004_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0004_mask_watertight.obj
data0005_mask.obj: ok, watertight: False, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0005_mask_watertight.obj
data0006_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0006_mask_watertight.obj
data0007_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0007_mask_watertight.obj
data0008_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0008_mask_watertight.obj
data0009_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0009_mask_watertight.obj
data0010_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0010_mask_watertight.obj
data0011_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0011_mask_watertight.obj
data0012_mask.obj: ok, watertight: False, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0012_mask_watertight.obj
data0013_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0013_mask_watertight.obj
data0014_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0014_mask_watertight.obj
data0015_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0015_mask_watertight.obj
data0016_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0016_mask_watertight.obj
data0017_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0017_mask_watertight.obj
data0018_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0018_mask_watertight.obj
data0019_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0019_mask_watertight.obj
data0020_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0020_mask_watertight.obj
data0021_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0021_mask_watertight.obj
data0022_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0022_mask_watertight.obj
data0023_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0023_mask_watertight.obj
data0024_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0024_mask_watertight.obj
data0025_mask.obj: ok, watertight: False, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0025_mask_watertight.obj
data0026_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0026_mask_watertight.obj
data0027_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0027_mask_watertight.obj
data0028_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0028_mask_watertight.obj
data0029_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0029_mask_watertight.obj
data0030_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0030_mask_watertight.obj
data0031_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0031_mask_watertight.obj
data0032_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0032_mask_watertight.obj
data0033_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0033_mask_watertight.obj
data0034_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0034_mask_watertight.obj
data0035_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0035_mask_watertight.obj
data0036_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0036_mask_watertight.obj
data0037_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0037_mask_watertight.obj
data0038_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0038_mask_watertight.obj
data0039_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0039_mask_watertight.obj
data0040_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0040_mask_watertight.obj
data0041_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0041_mask_watertight.obj
data0042_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0042_mask_watertight.obj
data0043_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0043_mask_watertight.obj
data0044_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0044_mask_watertight.obj
data0045_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0045_mask_watertight.obj
data0046_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0046_mask_watertight.obj
data0047_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0047_mask_watertight.obj
data0048_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0048_mask_watertight.obj
data0049_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0049_mask_watertight.obj
data0050_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0050_mask_watertight.obj
data0051_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0051_mask_watertight.obj
data0052_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0052_mask_watertight.obj
data0053_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0053_mask_watertight.obj
data0054_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0054_mask_watertight.obj
data0055_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0055_mask_watertight.obj
data0056_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0056_mask_watertight.obj
data0057_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0057_mask_watertight.obj
data0058_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0058_mask_watertight.obj
data0059_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0059_mask_watertight.obj
data0060_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0060_mask_watertight.obj
data0061_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0061_mask_watertight.obj
data0062_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0062_mask_watertight.obj
data0063_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0063_mask_watertight.obj
data0064_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0064_mask_watertight.obj
data0065_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0065_mask_watertight.obj
data0066_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0066_mask_watertight.obj
data0067_mask.obj: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mask_watertight/data0067_mask_watertight.obj
